State	Pop	Value
CA	Under_5_Years	3000000
CA	5_to_13_Years	4499890
CA	14_to_17_Years	2159981
CA	18_to_24_Years	3853788
CA	25_to_44_Years	10604510
CA	45_to_64_Years	8819342
CA	65_Years_and_Over	4114496
TX	Under_5_Years	2027307
TX	5_to_13_Years	3277946
TX	14_to_17_Years	1420518
TX	18_to_24_Years	2454721
TX	25_to_44_Years	7017731
TX	45_to_64_Years	5656528
TX	65_Years_and_Over	2472223
NY	Under_5_Years	1208495
NY	5_to_13_Years	2141490
NY	14_to_17_Years	1058031
NY	18_to_24_Years	1999120
NY	25_to_44_Years	5355235
NY	45_to_64_Years	5120254
NY	65_Years_and_Over	2607672
FL	Under_5_Years	1140516
FL	5_to_13_Years	1938695
FL	14_to_17_Years	925060
FL	18_to_24_Years	1607297
FL	25_to_44_Years	4782119
FL	45_to_64_Years	4746856
FL	65_Years_and_Over	3187797
IL	Under_5_Years	894368
IL	5_to_13_Years	1558919
IL	14_to_17_Years	725973
IL	18_to_24_Years	1311479
IL	25_to_44_Years	3596343
IL	45_to_64_Years	3239173
IL	65_Years_and_Over	1575308
PA	Under_5_Years	737462
PA	5_to_13_Years	1345341
PA	14_to_17_Years	679201
PA	18_to_24_Years	1203944
PA	25_to_44_Years	3157759
PA	45_to_64_Years	3414001
PA	65_Years_and_Over	1910571